EQS	= "countries/Equestria.txt"
CHN	= "countries/Great Impery Of Changelings.txt"
CRY     = "countries/Crystal Empire.txt"
YAK     = "countries/YakYakistan.txt"
MRT     = "countries/Reichskreis Maretropolia.txt"
DMN     = "countries/Reichskreis Dimondia.txt"
VRB     = "countries/Reichskreis Verbotenvald.txt"
FRD     = "countries/Reichskreis Frodezia.txt"
KLG     = "countries/Reichskreis Klugetown.txt"
CAR     = "countries/Administration of Caracow.txt"
STR     = "countries/Storm Kingdom.txt"
SEQ     = "countries/Kingdom of Seaquestria.txt"
OEF     = "countries/Ost-Equatorial Federation.txt"
DRG     = "countries/Dragon Territories.txt"
OZB     = "countries/Ostern Zebrika.txt"
FRZ     = "countries/General-governorship Farazia.txt"
TYR     = "countries/General-governorship Tyrlitia.txt"
SDL     = "countries/Sedlostan.txt"
LBR     = "countries/Libaria.txt"
BCK     = "countries/Buckbick.txt"
FEA     = "countries/Featherclaw.txt"
GRF     = "countries/Griffonstone.txt"
WNG     = "countries/Wingaldo.txt"
HUO     = "countries/Juan Buluo.txt"
GEN     = "countries/Genkotsu.txt"
KNG     = "countries/Kankojon.txt"
TAI     = "countries/Taia-Kuitsu.txt"
AZV     = "countries/Aziv.txt"
UNC     = "countries/Uncolonized.txt"
ANF     = "countries/AntyNirikFront.txt"
VKR     = "countries/VelikajaKristalnajaRespublika.txt"
ZNC     = "countries/Zebrski Nacionalna Strana.txt"
KRE     = "countries/Krainska Republika.txt"
RPK     = "countries/Republika Ponijska Kraina.txt"
TSH     = "countries/Tashlibinsk.txt"
BSH     = "countries/Beshelj.txt"
STI	= "countries/Sheng Taja.txt"
BKS	= "countries/Bucksana.txt"
MZB	= "countries/Moozambique.txt"
CHR	= "countries/Cheeruta.txt"
SNW	= "countries/Sandwater.txt"
AGA	= "countries/Armies Group A.txt"
AGB	= "countries/Armies Group B.txt"
AGC	= "countries/Armies Group C.txt"
AGD	= "countries/Armies Group D.txt"
ZGR	= "countries/Zerbica Garrison Revolt.txt"
AHR	= "countries/Ahurasroy.txt"
ARD	= "countries/Atormad.txt"
DHT	= "countries/Dahetu.txt"
DVM	= "countries/Dvimala.txt"
MTR	= "countries/Mitribad.txt"
KTH	= "countries/Katushtrasu.txt"
HRS	= "countries/Hurshidai.txt"
ISU	= "countries/Isuei.txt"
ZBR	= "countries/Zebrabwe.txt"
MRD	= "countries/Maredia.txt"
SRP	= "countries/Stripasi.txt"
ZRT	= "countries/Zebrat.txt"
BUK	= "countries/Bucksoy.txt"
KST	= "countries/Kasteldacia.txt"
ALP	= "countries/Alpakia.txt"
OLM	= "countries/Olamia.txt"
ABS	= "countries/Abyssinia.txt"
AOZ	= "countries/Armija Oboroni Zebriki.txt"
NEG	= "countries/New Equestrian Government.txt"
DEA	= "countries/Democratic Alliance.txt"
UCF	= "countries/United Creatures Front.txt"
OLN	= "countries/Deer Kingdom.txt"
KAF	= "countries/Koalicija Al Fallekfaw.txt"
ZKT	= "countries/Zona KTO.txt"
ADR	= "countries/Archaist Dragonia.txt"
MDR	= "countries/Modernist Dragonia.txt"
SLK	= "countries/Salekh Movement.txt"
